% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=257691, Wed Mar 25 14:17:38 2020, <python>{}</python>
1 10 0.00973567248004268 0 0 0.009937394425807084 0.009527091848977202 0.009764734678303758 0.00949311544166789 0.009713850987166515 0.009807002187973113 0.010031645327226271 0.009635249211456068 0.009773680795162396
2 20 0.00993289901967806 0 0 0.010453765531854018 0.009751636924138642 0.009709410608495823 0.009718427045429499 0.010264973312229754 0.010058930071113883 0.010032167400163309 0.009606267825107201 0.010019838670837299
3 30 0.009594036759445024 0 0 0.010083904796685235 0.009125899572618614 0.009449292695597918 0.009379926405699518 0.009923750188215855 0.010535797852814749 0.00963912352341168 0.009232470295916579 0.009688793549516215
4 40 0.009026425130934318 0 0 0.009504327961473406 0.008484492340360377 0.008649046474640416 0.008692998689808057 0.009552761537286807 0.009929106341964932 0.00872760181951163 0.008571024780252701 0.009111443452867735
5 50 0.009170379476039561 0 0 0.009878736826440481 0.008595165922810141 0.009163244691177545 0.008556038492330399 0.009716107913302099 0.009584743749412513 0.008841801545777008 0.008791047912325423 0.009384746327875325
6 60 0.00968912363347492 0 0 0.010431102326765477 0.009742633670249566 0.009679002399782075 0.008635143381461605 0.010205432221890912 0.009995954435626956 0.009472863282002688 0.009516507670554291 0.009872544273273115
7 70 0.009632884184026608 0 0 0.01006947613640411 0.009762218969945008 0.009455798991383444 0.008547823219782378 0.010299010219175462 0.010057901665546992 0.009076407095595684 0.009464557153633386 0.010733721742218726
8 80 0.008918155258605084 0 0 0.009336179982830851 0.008783786071046911 0.008682244571935529 0.007906075055539025 0.009357370876837462 0.009084749112703643 0.008242538115053698 0.008772033219688847 0.00990601766520668
9 90 0.008969825203769578 0 0 0.009911696144134856 0.008903581946053687 0.008889478487647023 0.007828509010968984 0.009332531628422545 0.009367041598147547 0.008320968512159677 0.008582227357694108 0.009780268076679187
10 100 0.008441302597168984 0 0 0.009080188315704871 0.008425750913099151 0.008200975926310063 0.0071990131544955585 0.008890222291320719 0.008735198023279657 0.007834578943609798 0.007959097439509304 0.009223412507922765
11 110 0.007560743402710116 0 0 0.008114630937544503 0.007408495625762238 0.006976875946741203 0.006319892630967983 0.007894366769331062 0.008202986306266372 0.007016786524348858 0.007187395167034003 0.008143753081675609
12 120 0.006858076097310157 0 0 0.007150508797305546 0.006892990259680434 0.006444089485272731 0.005542322754484387 0.007122433428911927 0.007344770329541891 0.006373586823692778 0.006529775433331852 0.007254313923356743
13 130 0.0064567244685837105 0 0 0.006456084236784156 0.006431126164610353 0.006105603656720825 0.005087463212029774 0.006759391483830102 0.00684600444148101 0.005940295049221195 0.006029582873674136 0.007110841996468601
14 140 0.0061814089276004324 0 0 0.006175633796832235 0.0063043639536539044 0.0059121903570326095 0.00457350950488197 0.006287720795338143 0.006535969025022711 0.005806383885774025 0.0055929088133306465 0.006932839084735005
15 150 0.005862564807597987 0 0 0.00573739466650381 0.0059262370851454116 0.0056238442366403395 0.004256251342317428 0.00612371515273504 0.006162475312113579 0.005637865595872866 0.005324821936853409 0.0064631821063408385
